תעודת זהות, סטטוס,שם פרטי,שם משפחה,כתובת ,מיקוד,פלאפון, מייל,תאריך לידה  ,מקום לימודים בעבר,יחידה בצבא ,מקצוע ,סטטוס בית,שם האב  ,שם האם ,שם האישה ,שם משפחת האישה, פלאפון האישה,מקום לימוד האישה,מייל האישה , מעוניין בחברותא?, השתתף בימי העיון?,תמונה,תז קדמי,תז אחורי,ספח תז,actions
0,בוגר,יונה,דהן,האצל 15,251623,0582654851,YONA@gmail.com,2023-06-18T00:00:00,טללים,string,string,דתי,ערן,חיה,string,string,string,string,string,true,true,string,,,,
1,תלמיד,משה,מלול,הרימון 75,254122,0526548125,145dr@gmail.com,2003-05-21T00:00:00,העמלים,חיל התותחנים הישראלי,הנדסאי מחשב,מסורתי,כרמל,ירדן,string,string,string,string,string,true,false,3O9A3654 מוקטן.jpg,,,,
101,תלמיד,נתן,גושן,ניצנים 5,52645,0532015423,NATAN1@GMAIL.COM,2023-05-04T00:00:00,השושנים,חיל הים הישראלי,הנדסאי חשמל,דתי,רחמים,הלל,m,m,m,m,m,true,false,IMG_6361.JPG,,,,
111111,בוגר,יוסי,שמעוני,הרימון 3,22,0555125465,s@gmail.com,2023-05-14T00:00:00,s,s,s,s,,sd,sd,s,ggg,s,s,true,true,הקניון הלבן.jpg,,,,
111111111,תלמיד,חיים,מלול,התאנה 5,4545,0586548951,gg@gmail.com,2023-06-11T00:00:00,jj,חיל החינוך והנוער,חיחי,מסורתי,חיחי,jj,,,,,,true,true,002_211.JPG,,,,
121,חייל,שלום,בר שלום,יהודה ושומרון,2,0523461557,ss@gmail.com,2023-05-05T00:00:00,ss,s,s,ss,s,s,s,ss,ss,s,s,false,false,IMG_6369.JPG,,,,
123123123,בוגר,יוספי,יוספי,מעלות הקדושים 123,2,0527156984,g@gmail.com,2023-05-22T00:00:00,יוספי,חיל החינוך והנוער,יוספי,מסורתי,יוספי,יוספי,,,,,,false,false,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
12332,חייל,sss,ss,s,44,s,s,2023-05-15T00:00:00,e,e,e,e,e,e,e,e,e,e,e,true,false,IMG_6062.JPG,,,,
1234567899,חייל,h,h,h,1,h,h,2023-05-14T00:00:00,h,h,h,h,h,h,h,h,h,h,h,true,true,סמל המדינה.png,סמל עיריה.png,סמל המדינה.png,הרדיון.jpg,
124512451,תלמיד,חיחי,חיחי,jj,4512,jj,jj@gmail.com,2023-06-11T00:00:00,חיחי,חיל ההנדסה הישראלי ,jj,חרדי,jj,jj,,,,,,false,true,צילום מסך 2022-11-14 005151.png,,,,
