תעודת זהות, סטטוס,שם פרטי,שם משפחה,כתובת ,מיקוד,פלאפון, מייל,תאריך לידה  ,מקום לימודים בעבר,יחידה בצבא ,מקצוע ,סטטוס בית,שם האב  ,שם האם ,שם האישה ,שם משפחת האישה, פלאפון האישה,מקום לימוד האישה,מייל האישה , מעוניין בחברותא?, השתתף בימי העיון?,תמונה,תז קדמי,תז אחורי,ספח תז,actions
0,תלמיד,מאיר,חיימסון,האיר 5,258125,0583258654,MEIR111@GMAIL.COM,2023-05-04T00:00:00,טללים,עוקץ,רואה חשבון,דתי,חיים,יעל,אורטל,עומן,0258154825,מרכזי חדש,ORTAL444@GMAIL.COM,true,true,צילום מסך 2022-11-14 005151.png,,,,
1,בוגר,o,o,o,1,opkopjoi,o,2023-05-04T00:00:00,o,ovdhgb,o,o,o,o,o,o,o,o,o,true,true,IMG_6316.JPG,,,,
2,תלמיד,aaa,qqq,q,5,q,q,2023-05-05T00:00:00,o,o,o,o,o,o,o,o,o,o,o,false,false,IMG_6062.JPG,,,,
4,בוגר,l,l,l,1,l,l,2023-05-06T00:00:00,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,false,false,IMG_6369.JPG,,,,
7,תלמיד,אילןlll,טוויטו,עוזיאל 60,1222,0583220506,641514@gmail.com,2023-05-05T00:00:00,בויאר,דובדבן,הנדסאי,מסורתי,ראובן,הילה,יעל,כוכבה שחר,0588954878,סלע,6527302@gmail.com,false,false,צילום מסך 2022-11-14 005556.png,,,,
18,חייל,j,j,j,23,j,j,2023-05-06T00:00:00,lkj,lkj,lkj,lk,lkj,lkj,lkj,lkj,lkj,lkj,lkj,false,false,IMG_6361.JPG,,,,
23,תלמיד,חח,חח,חח,1,2,,2023-05-08T00:00:00,,,,חח,,,,,,,,false,false,IMG_6361.JPG,,,,
45,תלמיד,dd,dd,dd,22,dd,dd,2023-05-02T00:00:00,dd,ddd,ddd,d,dd,ddd,dd,d,d,dd,ddd,true,false,[000001].jpg,,,,
101,חייל,e,e,e,1,e,e,2023-05-04T00:00:00,321,;l,ll,m,m,m,m,m,m,m,m,false,false,IMG_6361.JPG,,,,
121,חייל,s,s,ss,2,s,ss,2023-05-05T00:00:00,ss,s,s,ss,s,s,s,ss,ss,s,s,false,false,IMG_6369.JPG,,,,
234,חייל,s,s,s,32,s,s,2023-05-24T00:00:00,s,ss,s,s,s,ss,s,s,ss,s,s,false,false,IMG_6369.JPG,,,,
258,חייל,ff,fff,,0,,,2023-05-04T00:00:00,,,,,,,,,,,,false,false,[000001].jpg,,,,
321,חייל,חלעםוןל,q,q,1,q,q,2023-05-05T00:00:00,q,q,q,q,q,q,q,q,q,q,q,false,false,IMG_6361.JPG,,,,
444,חייל,עמירן,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
555,חייל,אמיתי,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
875,חייל,ח,ח,ח,12,ח,חח,2023-05-08T00:00:00,ח,ח,כ,ח,ח,ח,ח,ח,ח,חח,ח,false,false,Cndy_bar.jpg,,,,
2222,חייל,חח,חח,,0,333,,2023-05-08T00:00:00,,,,חח,,,,,,,,false,false,IMG_6369.JPG,,,,
2454,חייל,לירן,חושן,מצפה יריחו,2154,0529825418,LIRON@GMAIL.COM,2021-09-08T00:00:00,מעלה רמות,דובדבני,הנדסאי,מסורתי,משה,שירtל,אושר,כהן,0586598124,אוניברסיטה הפתוחה,OSHER@GMAIL.COM,true,true,IMG_6316.JPG,,,,
3255,חייל,יעלוש,string,string,0,string,string,2023-05-11T00:00:00,string,string,string,string,string,string,string,string,string,string,string,true,true,string,string,string,string,
25811,חייל,יואב,string,string,0,string,string,2023-05-11T00:00:00,string,string,string,string,string,string,string,string,string,string,string,true,true,string,string,,,
32556,חייל,ירדנה,לל,ל,41,ל,ל,2023-05-11T00:00:00,ל,ל,ל,ל,ל,ל,ל,ל,ל,ל,ל,false,false,IMG_6316.JPG,IMG_6369.JPG,IMG_6316.JPG,IMG_6316.JPG,
5284555,חייל,עמירן,אפללו,האצל 17,124501,0515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,0529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
214127669,חייל,אריה,היל,דובדבן,7,22222222222,1@gmail.com,2023-05-05T00:00:00,בויאר,דובדבן,הנדסאי,מסורתי,ירון,ינטל,חן,חן,0552554565,סלע,1@gmail.com,true,true,IMG_6316.JPG,,,,
